review_id,customer_id,product_id,rating,review_text,review_date
1,87,P004,2.0,Battery life could be better.,2024-07-28
2,284,P006,3.0,Poor design and overpriced.,2025-01-01
3,278,P007,4.1,"Decent value for money, could be better.",2024-08-19
4,280,P049,4.2,Works perfectly and looks great.,2025-01-16
5,285,P044,1.8,Product does not match the description.,2024-12-02
6,82,P044,3.9,"Excellent product, loved the quality.",2024-09-06
7,130,P007,3.3,"Decent value for money, could be better.",2024-10-21
8,126,P030,4.3,Works perfectly and looks great.,2024-05-27
9,251,P035,4.0,"Exceeded expectations, highly recommend!",2024-09-29
10,68,P019,1.7,Battery life could be better.,2024-06-26
11,44,P003,3.2,Works perfectly and looks great.,2025-03-27
12,199,P015,4.8,"Exceeded expectations, highly recommend!",2024-09-19
13,94,P030,1.3,"Decent value for money, could be better.",2024-09-02
14,15,P003,1.1,Very satisfied with the purchase.,2024-07-21
15,34,P002,1.8,Poor design and overpriced.,2024-08-14
16,102,P037,4.1,Poor design and overpriced.,2025-01-07
17,279,P048,3.4,Works perfectly and looks great.,2024-07-05
18,229,P003,3.7,"Excellent product, loved the quality.",2025-02-20
19,139,P003,3.1,Poor design and overpriced.,2024-09-26
20,154,P016,2.6,Very satisfied with the purchase.,2025-03-01
21,78,P007,2.5,Poor design and overpriced.,2024-09-10
22,245,P026,1.5,"Terrible service, not satisfied.",2024-09-06
23,118,P004,1.7,Works perfectly and looks great.,2024-12-24
24,165,P036,1.6,"Terrible service, not satisfied.",2024-06-19
25,158,P043,1.4,Very satisfied with the purchase.,2024-06-01
26,9,P023,4.4,Poor design and overpriced.,2024-06-25
27,262,P027,4.3,"Terrible service, not satisfied.",2024-08-22
28,138,P046,4.1,Fast delivery and good packaging.,2024-05-11
29,4,P008,4.1,"Terrible service, not satisfied.",2024-10-05
30,57,P009,4.2,"Excellent product, loved the quality.",2025-01-24
31,90,P007,4.9,Very satisfied with the purchase.,2024-05-07
32,149,P043,3.5,"Terrible service, not satisfied.",2024-08-30
33,49,P049,1.7,"Decent value for money, could be better.",2024-10-15
34,169,P041,3.3,Works perfectly and looks great.,2024-11-02
35,190,P044,3.4,Works perfectly and looks great.,2025-02-16
36,160,P016,3.5,"Terrible service, not satisfied.",2024-09-18
37,137,P019,5.0,"Decent value for money, could be better.",2025-01-30
38,299,P004,3.7,"Excellent product, loved the quality.",2025-01-13
39,19,P043,3.5,"Terrible service, not satisfied.",2024-11-11
40,200,P009,2.6,"Terrible service, not satisfied.",2024-11-05
41,112,P047,3.7,Very satisfied with the purchase.,2024-09-25
42,212,P047,4.2,"Exceeded expectations, highly recommend!",2024-05-24
43,286,P030,4.4,Very satisfied with the purchase.,2024-06-10
44,245,P031,3.2,Poor design and overpriced.,2025-01-01
45,100,P001,1.7,Fast delivery and good packaging.,2025-04-17
46,52,P010,2.8,Fast delivery and good packaging.,2024-11-14
47,274,P046,2.0,Product does not match the description.,2025-02-24
48,293,P021,1.8,"Excellent product, loved the quality.",2024-09-21
49,118,P014,3.2,"Terrible service, not satisfied.",2025-02-19
50,5,P022,1.8,"Excellent product, loved the quality.",2024-05-12
51,84,P017,2.6,"Decent value for money, could be better.",2024-10-25
52,36,P023,3.0,Poor design and overpriced.,2024-11-27
53,250,P027,3.2,"Excellent product, loved the quality.",2024-05-09
54,271,P047,4.5,Battery life could be better.,2024-07-13
55,76,P018,2.2,Works perfectly and looks great.,2025-04-04
56,188,P007,3.3,"Excellent product, loved the quality.",2025-01-17
57,249,P042,2.6,Product does not match the description.,2025-01-07
58,295,P035,1.3,"Decent value for money, could be better.",2024-11-08
59,130,P029,2.6,Poor design and overpriced.,2024-05-25
60,269,P002,4.6,"Exceeded expectations, highly recommend!",2025-03-19
61,258,P036,5.0,"Excellent product, loved the quality.",2024-06-29
62,126,P029,3.1,"Terrible service, not satisfied.",2024-07-02
63,84,P043,4.9,Product does not match the description.,2025-04-16
64,38,P008,4.4,Battery life could be better.,2024-05-18
65,190,P010,4.8,"Excellent product, loved the quality.",2024-09-14
66,95,P034,3.8,"Excellent product, loved the quality.",2025-03-26
67,286,P024,2.6,Poor design and overpriced.,2024-09-07
68,35,P019,4.2,"Excellent product, loved the quality.",2024-05-29
69,237,P009,3.8,Works perfectly and looks great.,2024-07-26
70,56,P007,3.9,Fast delivery and good packaging.,2024-10-17
71,110,P010,4.5,Fast delivery and good packaging.,2024-05-10
72,58,P048,3.1,Fast delivery and good packaging.,2024-12-12
73,81,P046,1.3,Product does not match the description.,2024-12-25
74,255,P004,1.7,Battery life could be better.,2024-10-24
75,210,P007,4.5,"Terrible service, not satisfied.",2024-04-29
76,261,P025,3.2,"Excellent product, loved the quality.",2024-12-16
77,96,P014,3.7,Poor design and overpriced.,2025-02-13
78,205,P012,3.2,Battery life could be better.,2024-06-10
79,270,P034,4.8,Fast delivery and good packaging.,2024-12-05
80,94,P006,3.0,Fast delivery and good packaging.,2024-11-30
81,280,P030,2.4,Product does not match the description.,2024-07-28
82,84,P005,3.4,Battery life could be better.,2024-12-01
83,66,P005,1.1,Battery life could be better.,2024-11-02
84,73,P040,2.7,Very satisfied with the purchase.,2024-05-02
85,71,P007,3.3,"Decent value for money, could be better.",2025-04-18
86,90,P026,3.2,"Terrible service, not satisfied.",2025-02-27
87,117,P023,4.4,"Terrible service, not satisfied.",2024-07-08
88,104,P047,1.6,"Terrible service, not satisfied.",2024-08-13
89,64,P047,2.7,"Decent value for money, could be better.",2025-01-26
90,39,P032,2.7,Fast delivery and good packaging.,2024-09-14
91,238,P022,1.1,Fast delivery and good packaging.,2024-12-21
92,50,P047,1.4,Poor design and overpriced.,2025-03-25
93,148,P019,3.4,"Exceeded expectations, highly recommend!",2024-11-07
94,148,P007,1.9,Fast delivery and good packaging.,2025-04-18
95,203,P010,3.6,Poor design and overpriced.,2024-06-17
96,229,P048,1.0,Battery life could be better.,2024-10-27
97,293,P025,1.5,Poor design and overpriced.,2024-04-20
98,88,P005,3.4,Fast delivery and good packaging.,2024-08-25
99,100,P008,3.8,Fast delivery and good packaging.,2024-11-29
100,292,P045,3.4,Product does not match the description.,2024-06-30
101,165,P027,1.1,Very satisfied with the purchase.,2024-10-24
102,227,P024,4.8,"Excellent product, loved the quality.",2024-09-14
103,109,P047,3.2,"Decent value for money, could be better.",2024-04-22
104,61,P018,3.5,"Exceeded expectations, highly recommend!",2024-10-08
105,125,P045,3.9,"Terrible service, not satisfied.",2025-01-25
106,155,P039,1.4,Poor design and overpriced.,2024-09-27
107,142,P011,3.5,Fast delivery and good packaging.,2024-05-28
108,64,P022,5.0,"Exceeded expectations, highly recommend!",2025-01-31
109,215,P002,3.6,"Decent value for money, could be better.",2025-02-08
110,289,P008,2.6,Poor design and overpriced.,2025-01-15
111,200,P028,2.3,"Terrible service, not satisfied.",2024-12-02
112,154,P038,1.7,Product does not match the description.,2024-10-27
113,205,P013,1.6,Product does not match the description.,2024-05-23
114,294,P050,5.0,"Exceeded expectations, highly recommend!",2025-02-26
115,192,P034,1.6,"Decent value for money, could be better.",2024-05-07
116,87,P036,1.7,Poor design and overpriced.,2024-07-04
117,82,P044,1.3,"Decent value for money, could be better.",2025-03-20
118,79,P002,3.9,Product does not match the description.,2024-11-06
119,235,P003,1.1,Works perfectly and looks great.,2025-03-04
120,253,P046,2.7,"Terrible service, not satisfied.",2024-09-29
121,13,P005,3.8,Works perfectly and looks great.,2025-04-18
122,64,P013,1.9,"Terrible service, not satisfied.",2024-05-07
123,122,P045,2.5,Poor design and overpriced.,2024-10-27
124,82,P024,1.3,Poor design and overpriced.,2024-05-26
125,72,P039,3.4,"Decent value for money, could be better.",2024-11-19
126,85,P003,3.2,Works perfectly and looks great.,2025-03-02
127,167,P022,2.1,Fast delivery and good packaging.,2024-09-14
128,2,P017,3.2,"Terrible service, not satisfied.",2024-12-11
129,289,P004,3.4,Fast delivery and good packaging.,2025-04-15
130,141,P037,4.2,"Exceeded expectations, highly recommend!",2025-03-26
131,144,P050,4.3,"Excellent product, loved the quality.",2024-12-29
132,188,P010,2.9,Works perfectly and looks great.,2024-12-14
133,135,P035,2.4,"Excellent product, loved the quality.",2024-12-20
134,74,P041,3.3,"Excellent product, loved the quality.",2024-06-18
135,25,P006,4.8,"Exceeded expectations, highly recommend!",2025-01-11
136,57,P006,2.7,Battery life could be better.,2024-11-08
137,98,P020,1.1,Poor design and overpriced.,2024-11-21
138,143,P017,3.9,Battery life could be better.,2024-08-03
139,101,P043,3.7,Works perfectly and looks great.,2024-10-30
140,183,P018,1.8,"Exceeded expectations, highly recommend!",2024-05-21
141,97,P048,2.6,"Decent value for money, could be better.",2025-03-04
142,231,P008,1.3,"Decent value for money, could be better.",2025-04-13
143,176,P019,3.6,Battery life could be better.,2024-07-26
144,83,P013,1.6,"Terrible service, not satisfied.",2025-02-06
145,150,P045,4.0,"Terrible service, not satisfied.",2024-09-11
146,70,P030,2.9,"Decent value for money, could be better.",2024-12-22
147,167,P041,2.4,"Excellent product, loved the quality.",2025-01-15
148,102,P018,1.4,Poor design and overpriced.,2024-05-12
149,138,P004,3.2,Very satisfied with the purchase.,2024-10-13
150,79,P035,1.9,Battery life could be better.,2024-10-11
151,74,P037,3.4,Poor design and overpriced.,2024-06-24
152,185,P048,3.2,Works perfectly and looks great.,2024-05-07
153,7,P010,2.8,"Decent value for money, could be better.",2025-01-22
154,7,P018,3.0,Battery life could be better.,2025-03-08
155,234,P038,4.2,Product does not match the description.,2025-01-17
156,79,P022,3.6,"Terrible service, not satisfied.",2024-07-05
157,119,P021,2.0,Poor design and overpriced.,2024-11-03
158,36,P022,2.0,"Terrible service, not satisfied.",2024-05-15
159,242,P045,1.0,Fast delivery and good packaging.,2025-01-05
160,92,P019,2.2,Works perfectly and looks great.,2024-11-15
161,12,P035,1.3,"Decent value for money, could be better.",2025-01-01
162,203,P002,4.7,Fast delivery and good packaging.,2025-02-04
163,28,P048,4.8,Works perfectly and looks great.,2024-07-27
164,155,P018,3.7,Fast delivery and good packaging.,2024-11-28
165,203,P034,4.3,Battery life could be better.,2025-03-14
166,139,P032,4.2,"Terrible service, not satisfied.",2024-12-02
167,251,P042,4.5,"Terrible service, not satisfied.",2024-05-19
168,210,P027,4.1,Fast delivery and good packaging.,2025-03-13
169,252,P042,3.5,Fast delivery and good packaging.,2024-09-15
170,27,P008,4.6,Product does not match the description.,2024-08-18
171,49,P006,3.7,"Exceeded expectations, highly recommend!",2024-06-07
172,220,P011,1.6,Fast delivery and good packaging.,2025-01-23
173,280,P040,2.3,Battery life could be better.,2024-11-23
174,299,P044,3.5,Poor design and overpriced.,2025-01-17
175,279,P019,4.4,Very satisfied with the purchase.,2024-12-26
176,191,P022,1.0,"Excellent product, loved the quality.",2024-10-09
177,139,P047,2.2,"Exceeded expectations, highly recommend!",2024-06-10
178,171,P045,2.8,"Terrible service, not satisfied.",2024-11-07
179,129,P015,4.6,Product does not match the description.,2024-12-04
180,296,P010,1.8,Product does not match the description.,2024-07-31
181,154,P007,1.4,Fast delivery and good packaging.,2024-08-17
182,129,P023,2.9,Battery life could be better.,2024-08-02
183,280,P011,4.1,"Excellent product, loved the quality.",2024-10-13
184,44,P018,1.3,"Excellent product, loved the quality.",2024-06-07
185,243,P001,1.2,"Excellent product, loved the quality.",2025-03-07
186,21,P045,4.4,"Terrible service, not satisfied.",2024-06-15
187,207,P043,2.6,Fast delivery and good packaging.,2024-06-25
188,70,P029,2.7,"Decent value for money, could be better.",2025-02-02
189,256,P041,4.5,Poor design and overpriced.,2024-11-13
190,241,P040,2.3,Product does not match the description.,2025-01-08
191,54,P049,4.4,Very satisfied with the purchase.,2024-10-05
192,260,P047,3.0,Very satisfied with the purchase.,2025-03-29
193,131,P038,1.3,Very satisfied with the purchase.,2024-04-25
194,141,P040,2.1,"Decent value for money, could be better.",2024-06-13
195,261,P040,3.9,Poor design and overpriced.,2024-05-17
196,72,P044,1.0,"Decent value for money, could be better.",2024-07-08
197,4,P009,2.8,Very satisfied with the purchase.,2025-03-25
198,123,P006,2.0,"Terrible service, not satisfied.",2024-08-27
199,128,P029,2.3,"Terrible service, not satisfied.",2024-06-01
200,104,P006,2.3,Works perfectly and looks great.,2024-05-16
201,34,P029,1.0,"Excellent product, loved the quality.",2024-12-26
202,57,P003,4.6,Very satisfied with the purchase.,2024-09-12
203,128,P027,4.5,Product does not match the description.,2024-05-16
204,95,P024,4.2,Product does not match the description.,2024-12-09
205,199,P017,1.0,Battery life could be better.,2024-12-12
206,63,P019,3.3,"Decent value for money, could be better.",2024-12-13
207,34,P034,2.7,"Decent value for money, could be better.",2025-02-15
208,179,P009,2.0,"Exceeded expectations, highly recommend!",2024-08-25
209,167,P021,3.6,Product does not match the description.,2024-11-14
210,89,P041,2.2,"Excellent product, loved the quality.",2024-10-27
211,157,P034,3.0,Poor design and overpriced.,2025-02-20
212,64,P012,3.5,Works perfectly and looks great.,2024-11-23
213,94,P001,4.7,"Terrible service, not satisfied.",2024-11-07
214,7,P018,1.8,Product does not match the description.,2024-11-13
215,134,P048,1.8,"Terrible service, not satisfied.",2025-04-06
216,70,P040,2.7,Poor design and overpriced.,2024-06-27
217,218,P011,1.1,Very satisfied with the purchase.,2025-02-18
218,166,P007,4.3,Poor design and overpriced.,2024-08-26
219,129,P019,3.2,"Exceeded expectations, highly recommend!",2024-09-23
220,106,P041,2.2,Works perfectly and looks great.,2024-05-16
221,262,P035,2.3,Poor design and overpriced.,2024-11-24
222,177,P024,3.4,"Exceeded expectations, highly recommend!",2025-04-17
223,182,P025,3.5,Very satisfied with the purchase.,2024-07-23
224,268,P015,1.5,Product does not match the description.,2024-06-26
225,62,P050,5.0,Very satisfied with the purchase.,2024-05-17
226,57,P045,2.9,Poor design and overpriced.,2024-07-25
227,80,P002,2.1,Very satisfied with the purchase.,2024-11-10
228,41,P049,3.2,"Terrible service, not satisfied.",2024-09-07
229,68,P043,4.5,Product does not match the description.,2024-12-13
230,138,P046,4.8,Very satisfied with the purchase.,2025-01-22
231,21,P026,4.5,"Decent value for money, could be better.",2025-01-11
232,4,P037,4.9,"Excellent product, loved the quality.",2024-08-05
233,18,P002,4.5,"Terrible service, not satisfied.",2024-11-26
234,80,P012,2.3,Battery life could be better.,2024-09-14
235,89,P036,3.9,"Excellent product, loved the quality.",2024-07-16
236,217,P016,1.7,Works perfectly and looks great.,2025-03-28
237,249,P008,3.4,Product does not match the description.,2024-11-21
238,158,P002,2.0,Battery life could be better.,2024-12-01
239,79,P038,1.2,"Exceeded expectations, highly recommend!",2024-08-28
240,247,P002,3.3,Works perfectly and looks great.,2025-02-05
241,105,P040,2.7,Product does not match the description.,2024-10-15
242,273,P024,4.3,Very satisfied with the purchase.,2024-08-10
243,146,P039,1.3,"Terrible service, not satisfied.",2025-04-03
244,21,P014,4.3,"Terrible service, not satisfied.",2024-06-17
245,283,P011,4.4,Works perfectly and looks great.,2024-10-15
246,163,P030,2.3,Poor design and overpriced.,2024-10-30
247,215,P044,1.9,"Exceeded expectations, highly recommend!",2024-08-21
248,94,P045,2.7,"Excellent product, loved the quality.",2024-10-14
249,51,P016,4.4,Poor design and overpriced.,2024-11-14
250,39,P027,3.0,"Terrible service, not satisfied.",2024-06-19
251,237,P027,4.4,Works perfectly and looks great.,2024-12-12
252,53,P016,1.8,Works perfectly and looks great.,2025-01-17
253,60,P014,4.7,Poor design and overpriced.,2025-03-03
254,267,P027,2.5,"Exceeded expectations, highly recommend!",2025-04-15
255,36,P036,2.5,Poor design and overpriced.,2024-06-20
256,200,P018,3.0,"Exceeded expectations, highly recommend!",2024-08-25
257,203,P033,2.0,"Terrible service, not satisfied.",2024-05-17
258,88,P047,2.5,"Excellent product, loved the quality.",2024-07-13
259,109,P007,4.0,Fast delivery and good packaging.,2024-11-08
260,250,P021,3.6,Fast delivery and good packaging.,2025-01-25
261,21,P024,3.7,Product does not match the description.,2024-05-22
262,91,P045,4.0,"Decent value for money, could be better.",2025-03-24
263,252,P016,3.6,Battery life could be better.,2024-12-02
264,208,P033,2.0,Very satisfied with the purchase.,2024-09-10
265,259,P026,3.8,"Exceeded expectations, highly recommend!",2024-05-29
266,211,P021,3.6,Product does not match the description.,2024-09-24
267,162,P049,4.1,"Decent value for money, could be better.",2025-01-12
268,262,P025,2.6,Works perfectly and looks great.,2025-01-28
269,26,P007,1.1,Battery life could be better.,2025-01-17
270,249,P034,3.9,Battery life could be better.,2024-11-07
271,186,P045,1.5,Poor design and overpriced.,2024-09-11
272,252,P024,3.2,"Exceeded expectations, highly recommend!",2024-04-29
273,152,P008,3.1,"Decent value for money, could be better.",2024-07-17
274,118,P030,2.4,Poor design and overpriced.,2024-08-24
275,188,P010,3.5,"Exceeded expectations, highly recommend!",2025-03-17
276,286,P028,2.6,Battery life could be better.,2025-01-01
277,29,P049,4.8,Battery life could be better.,2024-07-07
278,152,P043,4.9,Battery life could be better.,2024-10-19
279,274,P021,2.7,Product does not match the description.,2025-04-10
280,161,P038,2.7,Fast delivery and good packaging.,2025-01-16
281,47,P031,1.3,"Exceeded expectations, highly recommend!",2024-09-20
282,23,P009,4.1,Poor design and overpriced.,2024-06-17
283,84,P009,3.9,Very satisfied with the purchase.,2024-12-05
284,131,P041,4.7,"Terrible service, not satisfied.",2024-07-08
285,8,P011,3.7,"Decent value for money, could be better.",2024-10-24
286,215,P050,4.7,"Excellent product, loved the quality.",2024-04-22
287,128,P014,4.9,"Terrible service, not satisfied.",2024-11-19
288,236,P003,4.3,Very satisfied with the purchase.,2024-07-09
289,230,P049,4.1,Battery life could be better.,2024-12-26
290,53,P049,2.9,Fast delivery and good packaging.,2024-07-23
291,154,P028,2.3,"Terrible service, not satisfied.",2024-10-17
292,42,P032,3.2,Fast delivery and good packaging.,2024-05-13
293,178,P015,4.4,Product does not match the description.,2024-05-31
294,167,P022,1.6,Battery life could be better.,2025-04-11
295,281,P031,2.1,Fast delivery and good packaging.,2024-06-16
296,295,P045,4.5,Works perfectly and looks great.,2024-06-16
297,118,P008,1.3,Battery life could be better.,2024-11-18
298,7,P006,2.5,"Exceeded expectations, highly recommend!",2024-06-12
299,203,P013,3.1,Product does not match the description.,2024-06-11
300,273,P033,1.8,Very satisfied with the purchase.,2024-05-15
301,71,P028,3.5,"Exceeded expectations, highly recommend!",2024-07-19
302,157,P015,4.5,"Decent value for money, could be better.",2024-09-05
303,143,P049,4.8,Product does not match the description.,2024-10-04
304,140,P032,3.1,Works perfectly and looks great.,2025-01-09
305,251,P046,1.2,Very satisfied with the purchase.,2025-03-27
306,57,P047,2.5,Product does not match the description.,2025-03-07
307,93,P014,1.5,"Exceeded expectations, highly recommend!",2024-05-14
308,175,P026,4.2,"Terrible service, not satisfied.",2024-09-05
309,237,P011,2.6,Product does not match the description.,2025-01-19
310,150,P019,2.9,"Decent value for money, could be better.",2024-12-10
311,94,P038,3.8,"Decent value for money, could be better.",2025-01-11
312,201,P001,3.2,"Decent value for money, could be better.",2024-07-20
313,113,P024,1.3,"Exceeded expectations, highly recommend!",2025-04-09
314,15,P029,4.8,Fast delivery and good packaging.,2024-11-14
315,25,P011,1.9,Battery life could be better.,2024-11-17
316,48,P003,1.4,Works perfectly and looks great.,2024-07-26
317,115,P034,4.2,"Excellent product, loved the quality.",2024-10-13
318,47,P004,1.8,"Terrible service, not satisfied.",2025-03-31
319,244,P006,4.0,Battery life could be better.,2024-05-05
320,181,P038,3.0,"Terrible service, not satisfied.",2025-01-09
321,241,P035,2.4,"Excellent product, loved the quality.",2024-09-30
322,168,P020,3.1,Very satisfied with the purchase.,2024-10-27
323,87,P037,2.1,Battery life could be better.,2024-11-23
324,195,P005,2.3,Fast delivery and good packaging.,2024-07-23
325,103,P008,3.1,"Excellent product, loved the quality.",2024-09-07
326,142,P007,1.7,"Terrible service, not satisfied.",2024-09-26
327,35,P037,3.4,Very satisfied with the purchase.,2024-05-11
328,238,P003,3.9,"Exceeded expectations, highly recommend!",2024-05-25
329,165,P006,2.1,"Excellent product, loved the quality.",2024-12-12
330,139,P048,2.8,Very satisfied with the purchase.,2024-09-12
331,187,P044,1.1,Product does not match the description.,2024-11-01
332,209,P012,4.6,"Terrible service, not satisfied.",2025-04-10
333,114,P028,3.6,Product does not match the description.,2024-11-04
334,263,P016,1.4,Product does not match the description.,2024-11-18
